,NAME_1,NAME_2,LGU,geometry,Disaster Risk Reduction Plan,Annual Disaster Drill,Early Warning System,Budget for DRRMP,Local Risk Assessment,Emergency Infrastructure,Disaster Preparedness Overall Score,Ranking
10,Laguna,LosBaños,Los Banos,"MULTIPOLYGON (((121.1977 14.126, 121.1942 14.1322, 121.1864 14.1369, 121.1715 14.1381, 121.1897 14.1623, 121.1994 14.1725, 121.2023 14.1863, 121.2037 14.1869, 121.212 14.1806, 121.2199 14.1823, 121.2332 14.1902, 121.2341 14.1927, 121.232 14.1912, 121.2326 14.193, 121.2365 14.1996, 121.247 14.1934, 121.2601 14.1922, 121.2655 14.1748, 121.2645 14.1662, 121.2659 14.1622, 121.2607 14.1508, 121.2562 14.1451, 121.2482 14.1408, 121.24 14.1386, 121.2367 14.1403, 121.2053 14.1108, 121.1977 14.126)))",1.9167,1.0032,1.0022,0.0364,2.0,0.5302,6.488700000000001,10
11,Laguna,Luisiana,Luisiana,"MULTIPOLYGON (((121.5134 14.1534, 121.5073 14.1541, 121.5026 14.1575, 121.4824 14.1826, 121.4638 14.2021, 121.4594 14.2114, 121.4919 14.2177, 121.5187 14.219, 121.5316 14.2165, 121.5886 14.1968, 121.5648 14.1708, 121.5554 14.1672, 121.5525 14.1685, 121.5497 14.1725, 121.5483 14.1719, 121.5359 14.1639, 121.5224 14.1471, 121.5134 14.1534)))",1.9762,1.0135,1.0099,0.0,2.0,0.0734,6.073,27
12,Laguna,Lumban,Lumban,"MULTIPOLYGON (((121.4545 14.2835, 121.4344 14.2791, 121.4291 14.2954, 121.4372 14.2906, 121.442 14.2905, 121.4446 14.2886, 121.4503 14.2893, 121.4458 14.2897, 121.4444 14.2911, 121.4482 14.2911, 121.4416 14.2933, 121.4396 14.2926, 121.426 14.2991, 121.4249 14.3043, 121.4265 14.3093, 121.4306 14.3088, 121.4322 14.3042, 121.4346 14.3069, 121.4329 14.31, 121.4375 14.312, 121.439 14.3112, 121.4396 14.3127, 121.4328 14.3202, 121.4304 14.3279, 121.4285 14.3258, 121.4276 14.3269, 121.4259 14.3257, 121.4231 14.3357, 121.4274 14.3382, 121.4289 14.3434, 121.4315 14.343, 121.4356 14.3389, 121.4363 14.3406, 121.4378 14.3385, 121.4387 14.3394, 121.4371 14.3414, 121.4374 14.344, 121.44 14.342, 121.4405 14.3435, 121.445 14.3388, 121.4517 14.3364, 121.455 14.328, 121.4607 14.3258, 121.4635 14.3275, 121.466 14.3238, 121.4632 14.3236, 121.4606 14.316, 121.462 14.3136, 121.4619 14.3159, 121.4668 14.3163, 121.4688 14.3193, 121.4782 14.316, 121.4867 14.3158, 121.5013 14.3201, 121.5122 14.3206, 121.5223 14.3186, 121.5388 14.3123, 121.5468 14.3113, 121.5691 14.3186, 121.5827 14.3313, 121.5987 14.3392, 121.6017 14.3385, 121.6042 14.3416, 121.6087 14.3416, 121.6248 14.3481, 121.6269 14.3035, 121.6299 14.2969, 121.6191 14.2882, 121.5839 14.2689, 121.5662 14.265, 121.5452 14.2651, 121.5427 14.2653, 121.5426 14.2666, 121.5372 14.2657, 121.5371 14.2675, 121.5355 14.2651, 121.5297 14.2673, 121.5248 14.2656, 121.52 14.2661, 121.5199 14.2647, 121.5157 14.2661, 121.5148 14.2643, 121.5135 14.2674, 121.5109 14.2659, 121.5076 14.2709, 121.5068 14.2739, 121.5092 14.2747, 121.5097 14.2781, 121.503 14.2806, 121.5041 14.2814, 121.5021 14.2845, 121.4879 14.2807, 121.4853 14.2816, 121.4704 14.2784, 121.4618 14.285, 121.4545 14.2835)))",1.9762,1.0036,1.0079,0.0,0.0,0.376,4.363700000000001,30
13,Laguna,Mabitac,Mabitac,"MULTIPOLYGON (((121.408 14.3891, 121.3749 14.399, 121.3607 14.4524, 121.3596 14.4768, 121.3658 14.4705, 121.4516 14.4499, 121.4448 14.4378, 121.4406 14.4377, 121.4361 14.4326, 121.439 14.4183, 121.4368 14.4, 121.4292 14.3983, 121.4285 14.3949, 121.408 14.3891)))",1.8125,1.0071,1.0521,0.0,2.0,0.5348,6.4065,14
14,Laguna,Magdalena,Magdalena,"MULTIPOLYGON (((121.4285 14.1782, 121.4193 14.1842, 121.4181 14.1904, 121.4148 14.1931, 121.408 14.1935, 121.4068 14.1958, 121.4077 14.2022, 121.4038 14.2126, 121.4049 14.2243, 121.4095 14.2254, 121.4112 14.2284, 121.4235 14.2312, 121.4427 14.2324, 121.4611 14.2316, 121.4577 14.225, 121.4593 14.2203, 121.4588 14.2041, 121.4548 14.1964, 121.4478 14.1885, 121.4445 14.1706, 121.4405 14.1659, 121.4371 14.1726, 121.4285 14.1782)))",1.9762,1.0036,1.1996,0.0,2.0,0.4205,6.5999,9
15,Laguna,Majayjay,Majayjay,"MULTIPOLYGON (((121.5174 14.1155, 121.5058 14.0921, 121.4925 14.0747, 121.4853 14.0967, 121.484 14.0984, 121.4787 14.0995, 121.4717 14.1059, 121.4688 14.1141, 121.4611 14.1204, 121.4553 14.1365, 121.4493 14.1464, 121.4472 14.1556, 121.4405 14.1659, 121.4454 14.1723, 121.4478 14.1885, 121.4548 14.1964, 121.4586 14.2035, 121.4594 14.2114, 121.4638 14.2021, 121.4824 14.1826, 121.5026 14.1575, 121.5073 14.1541, 121.5134 14.1534, 121.5224 14.1471, 121.5235 14.1408, 121.5262 14.1388, 121.5174 14.1155)))",1.9524,1.0036,1.0316,0.0,2.0,0.056,6.0436000000000005,28
16,Laguna,Nagcarlan,Nagcarlan,"MULTIPOLYGON (((121.4802 14.0716, 121.4834 14.0703, 121.4792 14.066, 121.449 14.0661, 121.4423 14.0634, 121.4396 14.0643, 121.4234 14.091, 121.42 14.1035, 121.4116 14.1091, 121.4047 14.12, 121.4 14.1216, 121.3972 14.1247, 121.3977 14.1261, 121.3923 14.1273, 121.385 14.1317, 121.3787 14.1293, 121.3753 14.1249, 121.3663 14.1209, 121.3651 14.1237, 121.3581 14.1283, 121.3573 14.1335, 121.3532 14.1321, 121.3494 14.1397, 121.3474 14.1404, 121.3478 14.1389, 121.3458 14.1403, 121.3454 14.1472, 121.3567 14.1477, 121.3654 14.15, 121.3392 14.1871, 121.3515 14.1838, 121.3595 14.1859, 121.3705 14.1944, 121.3905 14.2059, 121.3882 14.2119, 121.4038 14.2208, 121.4038 14.2126, 121.4077 14.2022, 121.4068 14.1958, 121.408 14.1935, 121.4039 14.1934, 121.4035 14.1871, 121.4022 14.1848, 121.3978 14.1827, 121.398 14.1797, 121.4007 14.1771, 121.4155 14.1771, 121.4147 14.1733, 121.4166 14.1664, 121.4156 14.1566, 121.4187 14.1559, 121.4219 14.1522, 121.4217 14.1468, 121.4347 14.1193, 121.4525 14.0962, 121.4802 14.0716)))",1.9167,1.004,1.0076,0.0306,2.0,0.429,6.3879,17
17,Laguna,Paete,Paete,"MULTIPOLYGON (((121.5535 14.3528, 121.4784 14.3485, 121.479 14.356, 121.4748 14.3641, 121.4743 14.3719, 121.4796 14.3731, 121.508 14.3864, 121.5482 14.4094, 121.5588 14.4089, 121.5626 14.4127, 121.5693 14.414, 121.5697 14.4175, 121.5736 14.4183, 121.5754 14.4116, 121.5794 14.413, 121.5813 14.4097, 121.5842 14.4108, 121.5851 14.4091, 121.5918 14.4101, 121.5963 14.3971, 121.6228 14.3936, 121.6254 14.3585, 121.5535 14.3528)))",1.9048,1.0018,1.0395,0.0,2.0,0.4007,6.3468,23
18,Laguna,Pagsanjan,Pagsanjan,"MULTIPOLYGON (((121.4594 14.2114, 121.4593 14.2203, 121.4577 14.225, 121.4611 14.2316, 121.4427 14.2324, 121.4235 14.2312, 121.4112 14.2284, 121.4183 14.2342, 121.4192 14.2442, 121.4284 14.2561, 121.4323 14.2663, 121.4344 14.2791, 121.4618 14.285, 121.4704 14.2784, 121.4853 14.2816, 121.4879 14.2807, 121.5021 14.2845, 121.5041 14.2814, 121.503 14.2806, 121.5097 14.2781, 121.5092 14.2747, 121.5068 14.2739, 121.5109 14.2659, 121.502 14.2634, 121.4905 14.2674, 121.4775 14.2566, 121.4742 14.2475, 121.4746 14.2378, 121.4808 14.2156, 121.4594 14.2114)))",1.9762,1.0614,1.0375,0.0,2.0,0.6299,6.705,7
19,Laguna,Pakil,Pakil,"MULTIPOLYGON (((121.3884 14.3451, 121.3703 14.361, 121.3673 14.3677, 121.3672 14.372, 121.3712 14.3791, 121.3749 14.399, 121.3861 14.3954, 121.3887 14.3854, 121.3911 14.3822, 121.4009 14.3762, 121.4081 14.3749, 121.3983 14.3569, 121.3884 14.3451)), ((121.4836 14.3936, 121.5102 14.4044, 121.5484 14.424, 121.5546 14.4173, 121.5588 14.4089, 121.5482 14.4094, 121.508 14.3864, 121.4796 14.3731, 121.4745 14.3719, 121.4717 14.3799, 121.466 14.388, 121.4836 14.3936)))",1.875,1.0071,1.125,0.0,2.0,0.384,6.391100000000001,16
